Matricula,Nome,CPF,Idade,Genero,EstadoCivil,PortadorNecessidadesEspeciais,PossuiCriancaMenorQue4anos,GrauEscolaridade,AreaFormacao,TreinamentoUltimoAno,Cargo,NivelCargo,AnosEmpresa,AnosCargoAtual,TipoProjeto,HorarioFlexivel,ViagemNegocios,OportunidadeUsarPlenamenteHabilidadesTrabalho,Departamento,AnosAtualGestor,Salario,PercepcaoValorBeneficios,AnosDesdeUltimaPromocao,RecebeuParticipacaoLucrosResultadosUltimos3anos,DistanciaCasa,TipoTransporte,ModalidadeTrabalho,SatisfacaoGestor,SatisfacaoRelacionamentoColegas,SatisfaçãoTrabalho,NívelEnvolvimentoTrabalho,AvaliacaoDesempenho,Absenteismo,HoraExtra,EquilíbrioEntreVidaProfissionalPessoal,Demitido
12,Terezinha Nascimento Lopes,863.459.232-49,52,Feminino,Casado,Não,Não,1,Marketing,3,Gerente de Projetos,5,32,14,Sustentação,Não,Raramente_Viaja,3,Vendas,9,19845,1,6,Não,2,Outro,Presencial,4,4,4,1,3,0,Não,3,Não
13,Felipe Campos Pires,864.332.688-70,50,Masculino,Casado,Não,Não,3,Bioinformática,2,Gerente de Projetos,5,32,5,Inovação,Não,Frequentemente_Viaja,2,Recursos Humanos,7,18200,2,10,Não,3,Transporte público,Remoto,2,3,2,3,3,0,Não,3,Não
14,Rafael Carvalho Peixoto,814.076.897-97,50,Masculino,Divorciado,Não,Não,4,Ciência da Computação,3,Gerente de Projetos,4,31,6,Inovação,Sim,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),7,17924,3,14,Não,2,Outro,Remoto,2,4,1,3,3,0,Não,3,Sim
15,Raimundo Monteiro Ribeiro,334.197.139-40,49,Masculino,Divorciado,Não,Não,4,Ciência da Computação,5,Diretor(a) de Tecnologia,5,31,9,Outros,Não,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),9,25352.6,4,0,Não,18,Carro Próprio,Presencial,3,3,3,2,3,0,Sim,3,Sim
16,Enzo Freitas Ribeiro,748.370.703-88,58,Masculino,Solteiro,Não,Não,4,Ciência da Computação,2,Diretor(a) de Tecnologia,5,31,15,Outros,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,25019.8,2,13,Não,2,Outro,Presencial,3,4,2,3,3,0,Sim,3,Não
17,Francisco Bastos Azevedo,076.278.873-99,50,Masculino,Casado,Não,Não,5,Bioinformática,3,Arquiteto(a) de Soluções,4,30,8,Inovação,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),13,11245,2,12,Não,20,Carro Próprio,Remoto,4,3,3,3,3,0,Sim,3,Não
18,Gabriela Moreira Mendes,166.981.376-26,60,Feminino,Casado,Sim,Não,3,Ciência da Computação,5,Gerente de Projetos,5,29,8,Inovação,Não,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),10,19566,1,11,Não,7,Carro Próprio,Remoto,2,4,1,3,3,3,Não,1,Não
19,Thiago Santos Souza,131.236.231-65,51,Masculino,Divorciado,Não,Não,3,Ciência da Computação,5,Gerente de Projetos,5,29,10,Inovação,Sim,Frequentemente_Viaja,3,Vendas,10,19847,4,11,Não,9,Outro,Remoto,1,1,2,3,4,0,Sim,2,Não
20,Amanda Peixoto Freitas,147.821.334-56,50,Feminino,Divorciado,Não,Não,2,Bioinformática,2,Diretor(a) de Tecnologia,5,27,3,Outros,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,24362,2,13,Não,7,Transporte público,Presencial,2,4,3,2,3,0,Sim,2,Sim
21,Thiago Silva Souza,979.526.857-08,50,Masculino,Casado,Não,Não,4,Ciência da Computação,2,Gerente de Projetos,4,27,10,Sustentação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),7,17046,2,15,Não,29,Carro Próprio,Presencial,3,2,3,2,3,3,Não,3,Sim
22,Vitoria Andrade Teixeira,075.925.902-04,46,Feminino,Casado,Não,Não,3,Marketing,2,Gerente de Projetos,4,26,15,Inovação,Sim,Raramente_Viaja,2,Vendas,9,17048,2,15,Não,2,Outro,Remoto,1,1,1,3,4,0,Não,3,Não
23,Eduardo Teixeira Barbosa,349.196.948-49,46,Masculino,Solteiro,Não,Não,4,Ciência da Computação,5,Gerente de Projetos,4,26,0,Inovação,Sim,Raramente_Viaja,1,Vendas,12,17567,3,0,Não,1,Outro,Presencial,1,2,1,4,3,0,Não,1,Não
24,Rita Freitas Gomes,933.206.457-14,49,Feminino,Casado,Não,Não,2,Outros ,3,Analista de QA,3,26,9,Sustentação,Sim,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),7,8883.6,2,1,Não,8,Outro,Remoto,2,3,2,3,3,0,Não,2,Não
25,Raquel Araújo Costa,006.980.938-01,47,Feminino,Casado,Não,Não,2,Outros ,3,Gerente de Projetos,4,26,14,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),0,16752,1,3,Não,2,Carro Próprio,Remoto,4,3,4,3,3,4,Sim,2,Não
26,Lucas Araújo Ferreira,799.019.279-94,43,Masculino,Divorciado,Não,Não,3,Ciência da Computação,3,Diretor(a) de Tecnologia,4,25,10,Outros,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),9,18636.8,1,3,Não,12,Outro,Presencial,2,3,2,2,3,0,Não,3,Não
27,Luiz Fernandes Moraes,762.182.093-42,44,Masculino,Divorciado,Não,Não,2,Ciência da Computação,4,Gerente de Projetos,5,25,9,Sustentação,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),13,19190,2,14,Não,4,Carro Próprio,Remoto,2,4,1,4,3,4,Não,2,Sim
28,Mariana Almeida Miranda,354.624.451-64,53,Feminino,Casado,Não,Não,4,Ciência da Computação,3,Gerente de Projetos,4,25,8,Inovação,Sim,Raramente_Viaja,4,Vendas,7,15427,1,3,Não,2,Carro Próprio,Presencial,4,3,4,2,3,0,Não,3,Sim
29,Nicolas Guimarães Ramos,476.668.391-97,43,Masculino,Casado,Não,Não,2,Ciência da Computação,3,Gerente de Projetos,4,25,12,Inovação,Sim,Frequentemente_Viaja,3,Vendas,12,16959,4,4,Não,26,Outro,Remoto,4,4,4,3,3,0,Sim,4,Não
30,Ricardo Viana Barbosa,819.967.345-12,55,Masculino,Solteiro,Não,Não,4,Bioinformática,3,Diretor(a) de Tecnologia,5,24,15,Outros,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),15,24338.6,1,2,Não,14,Outro,Presencial,2,4,2,4,3,0,Não,3,Não
31,Raquel Cunha Nascimento,112.537.209-59,45,Feminino,Solteiro,Não,Sim,3,Marketing,2,Gerente de Projetos,5,24,10,Sustentação,Não,Raramente_Viaja,2,Vendas,11,18824,2,1,Não,2,Carro Próprio,Presencial,2,1,2,1,3,0,Sim,3,Sim
32,Antônia Costa Cardoso,891.163.090-06,46,Feminino,Divorciado,Não,Não,2,Marketing,2,Executivo(a) de Contas,3,24,13,Outros,Não,Raramente_Viaja,2,Vendas,7,10453,3,15,Não,1,Transporte público,Presencial,2,3,1,3,4,0,Não,3,Não
33,Guilherme Moreira Moraes,223.076.098-06,42,Masculino,Divorciado,Não,Não,3,Ciência da Computação,4,Gerente de Projetos,5,24,7,Sustentação,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),9,18430,1,14,Não,8,Outro,Presencial,4,2,4,3,3,0,Não,2,Sim
34,Enzo Ramos Gomes,867.874.608-48,45,Masculino,Casado,Não,Não,3,Outros ,2,Gerente de Projetos,5,24,0,Sustentação,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),7,19202,4,1,Não,1,Outro,Remoto,3,3,4,4,3,0,Não,3,Não
35,Marcos Miranda Bastos,657.908.970-96,45,Masculino,Divorciado,Não,Não,3,Ciência da Computação,2,Analista de QA,3,24,9,Inovação,Sim,Frequentemente_Viaja,1,Pesquisa e Desenvolvimento (P&D),11,6252,4,9,Não,7,Outro,Remoto,1,1,1,3,3,0,Não,3,Não
36,Fernando Martins Lima,263.202.728-48,45,Masculino,Casado,Não,Não,1,Ciência da Computação,3,Arquiteto(a) de Soluções,3,23,15,Sustentação,Sim,Nao_Viaja,3,Pesquisa e Desenvolvimento (P&D),4,10748,2,14,Não,1,Outro,Presencial,3,4,3,2,4,4,Não,2,Sim
37,Samuel Lima Soares,924.152.275-52,47,Masculino,Casado,Não,Não,3,Ciência da Computação,3,Executivo(a) de Contas,4,23,5,Outros,Sim,Frequentemente_Viaja,2,Vendas,10,12936,3,14,Não,9,Transporte público,Presencial,3,3,3,1,3,0,Não,1,Não
38,Miguel Santos Miranda,475.551.443-60,40,Masculino,Casado,Não,Não,4,Ciência da Computação,3,Arquiteto(a) de Soluções,4,22,3,Sustentação,Sim,Frequentemente_Viaja,1,Pesquisa e Desenvolvimento (P&D),11,13503,1,11,Não,1,Carro Próprio,Presencial,2,4,2,2,4,0,Não,2,Não
39,Felipe Soares Duarte,258.398.313-01,42,Masculino,Casado,Não,Não,2,Curso Técnico,3,Gerente de Projetos,5,22,17,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),15,19232,4,11,Não,4,Carro Próprio,Remoto,4,4,4,3,3,3,Não,3,Não
40,Diego Fernandes Lima,118.963.470-88,41,Masculino,Solteiro,Não,Não,4,Ciência da Computação,2,Gerente de Projetos,4,22,10,Inovação,Sim,Raramente_Viaja,3,Vendas,4,16015,1,0,Não,2,Transporte público,Remoto,1,2,2,3,3,0,Não,3,Não
41,Vitor Martins Ferreira,357.597.846-84,41,Masculino,Casado,Não,Não,3,Recursos Humanos,3,Gerente de Projetos,5,22,7,Inovação,Não,Raramente_Viaja,3,Recursos Humanos,10,19189,3,2,Não,1,Outro,Remoto,2,2,3,2,3,0,Não,3,Não
42,Cristiane Cardoso Vieira,004.712.529-21,47,Feminino,Divorciado,Não,Não,3,Bioinformática,2,Executivo(a) de Contas,4,22,2,Outros,Sim,Frequentemente_Viaja,2,Vendas,13,13770,2,11,Não,3,Outro,Presencial,2,4,3,3,3,0,Sim,2,Não
43,Larissa Moraes Teixeira,435.780.067-69,44,Feminino,Casado,Não,Não,4,Bioinformática,4,Arquiteto(a) de Soluções,3,22,6,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),17,10248,3,5,Não,7,Outro,Remoto,4,4,4,2,3,0,Não,3,Sim
44,Luciana Dias Nunes,225.261.043-35,44,Feminino,Divorciado,Não,Não,3,Bioinformática,4,Diretor(a) de Tecnologia,5,22,7,Inovação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),10,24763.7,4,1,Não,7,Carro Próprio,Remoto,3,4,4,3,3,1,Sim,2,Não
45,Rosa Costa Almeida,529.621.518-41,41,Feminino,Divorciado,Não,Não,1,Marketing,3,Executivo(a) de Contas,3,22,14,Inovação,Sim,Raramente_Viaja,3,Vendas,5,10447,2,13,Não,4,Outro,Remoto,3,4,3,3,3,0,Sim,4,Não
46,Theo Martins Moreira,014.294.551-01,48,Masculino,Casado,Não,Não,3,Ciência da Computação,3,Diretor(a) de Tecnologia,5,22,10,Outros,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),9,25564.5,3,12,Não,10,Carro Próprio,Presencial,2,4,2,2,3,2,Não,3,Sim
47,Antônia Mendes Duarte,100.500.550-89,47,Feminino,Divorciado,Não,Não,3,Ciência da Computação,4,Diretor(a) de Operações,3,22,11,Outros,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),10,15499.5,3,14,Não,4,Transporte público,Remoto,1,3,2,2,3,1,Sim,3,Não
48,Theo Cunha Moreira,636.147.751-78,42,Masculino,Casado,Não,Não,2,Bioinformática,3,Gerente de Projetos,4,22,6,Inovação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),7,17665,4,13,Não,2,Carro Próprio,Remoto,2,4,1,3,3,0,Não,3,Não
49,André Martins Moraes,508.913.093-06,44,Masculino,Casado,Não,Não,3,Marketing,5,Gerente de Projetos,5,22,9,Inovação,Não,Raramente_Viaja,2,Vendas,10,18213,1,3,Não,5,Carro Próprio,Remoto,2,3,2,3,3,2,Não,3,Não
50,Claudia Nascimento Ferreira,729.393.173-56,48,Feminino,Divorciado,Não,Não,3,Bioinformática,3,Gerente de Projetos,4,22,17,Sustentação,Não,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),7,17174,2,4,Não,22,Carro Próprio,Presencial,4,2,4,3,3,0,Não,3,Sim
51,Marcelo Rocha Duarte,643.301.092-04,42,Masculino,Casado,Não,Não,3,Ciência da Computação,2,Gerente de Projetos,5,22,6,Inovação,Não,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),14,18880,4,4,Não,2,Outro,Remoto,2,1,3,3,3,0,Não,2,Não
52,Isabel Carvalho Nascimento,889.207.644-25,41,Feminino,Casado,Não,Não,3,Curso Técnico,0,Diretor(a) de Tecnologia,5,22,15,Outros,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,25408.5,1,15,Não,12,Outro,Presencial,3,4,3,3,3,2,Não,3,Não
53,Isabela Dias Ferreira,709.526.618-29,39,Feminino,Casado,Não,Não,1,Ciência da Computação,3,Diretor(a) de Operações,4,21,6,Outros,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),8,19113,3,11,Não,1,Transporte público,Presencial,3,3,4,2,3,0,Não,3,Não
54,Eduardo Oliveira Costa,405.006.429-40,40,Masculino,Solteiro,Não,Não,2,Bioinformática,2,Gerente de Projetos,4,21,7,Inovação,Sim,Raramente_Viaja,3,Recursos Humanos,7,16437,4,7,Não,6,Transporte público,Remoto,4,4,4,3,4,0,Sim,3,Não
55,Denise Santos Monteiro,233.676.958-15,41,Feminino,Divorciado,Não,Não,1,Ciência da Computação,3,Diretor(a) de Tecnologia,5,21,16,Outros,Sim,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),10,25964.9,1,5,Não,7,Carro Próprio,Presencial,3,2,3,1,4,0,Não,3,Não
56,Francisco Moreira Monteiro,996.314.459-41,40,Masculino,Divorciado,Não,Não,2,Bioinformática,5,Diretor(a) de Tecnologia,5,21,7,Outros,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),9,25266.8,3,3,Não,2,Carro Próprio,Presencial,3,4,3,3,3,0,Não,3,Sim
57,Vinicius Peixoto Lopes,349.192.385-92,39,Masculino,Casado,Não,Não,2,Bioinformática,2,Gerente de Projetos,5,21,9,Inovação,Não,Frequentemente_Viaja,4,Pesquisa e Desenvolvimento (P&D),3,19272,2,13,Não,7,Outro,Presencial,3,1,4,2,3,0,Não,3,Sim
58,Raimundo Costa Oliveira,830.702.038-76,39,Masculino,Casado,Não,Não,1,Bioinformática,3,Gerente de Projetos,4,21,9,Inovação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),10,17068,1,11,Não,10,Carro Próprio,Remoto,2,4,1,3,3,0,Sim,3,Não
59,Isabel Pereira Pires,324.573.795-55,59,Feminino,Solteiro,Não,Não,3,Ciência da Computação,3,Executivo(a) de Contas,3,21,16,Outros,Sim,Raramente_Viaja,2,Vendas,9,7637,3,7,Não,25,Carro Próprio,Remoto,1,4,1,3,3,3,Não,2,Não
60,Maria Souza Gomes,171.138.719-33,45,Feminino,Solteiro,Não,Não,2,Curso Técnico,2,Diretor(a) de Tecnologia,4,21,6,Outros,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),6,21715.2,4,8,Não,28,Carro Próprio,Presencial,3,3,2,2,3,0,Não,3,Sim
61,Marta Borges Viana,578.482.131-88,39,Feminino,Solteiro,Não,Não,3,Bioinformática,2,Diretor(a) de Operações,3,21,6,Inovação,Sim,Frequentemente_Viaja,2,Pesquisa e Desenvolvimento (P&D),8,16320,4,2,Não,22,Outro,Remoto,2,3,1,3,3,2,Sim,3,Não
62,Raimundo Nunes Vieira,067.801.114-14,42,Masculino,Solteiro,Não,Não,3,Ciência da Computação,2,Executivo(a) de Contas,4,21,9,Inovação,Sim,Frequentemente_Viaja,2,Vendas,14,13758,3,13,Não,12,Outro,Remoto,2,2,1,3,3,0,Sim,2,Não
63,Carlos Duarte Almeida,499.910.972-79,39,Masculino,Divorciado,Não,Não,1,Ciência da Computação,3,Gerente de Projetos,5,21,8,Inovação,Sim,Frequentemente_Viaja,2,Pesquisa e Desenvolvimento (P&D),6,19197,4,1,Não,1,Outro,Presencial,3,3,3,3,3,0,Sim,3,Não
64,Vitor Freitas Melo,357.568.141-40,41,Masculino,Divorciado,Não,Não,4,Recursos Humanos,2,Gerente de Projetos,5,21,6,Sustentação,Não,Raramente_Viaja,4,Recursos Humanos,6,19141,1,12,Não,10,Transporte público,Presencial,4,2,4,2,3,0,Não,2,Sim
65,Luzia Andrade Oliveira,789.347.865-90,43,Feminino,Solteiro,Não,Não,4,Marketing,3,Executivo(a) de Contas,3,21,7,Outros,Sim,Raramente_Viaja,3,Vendas,17,10231,2,15,Não,4,Outro,Presencial,3,4,4,2,3,2,Não,4,Não
66,José Martins Almeida,193.614.194-98,40,Masculino,Solteiro,Não,Não,4,Bioinformática,3,Gerente de Projetos,5,21,8,Sustentação,Sim,Raramente_Viaja,1,Vendas,8,19833,2,12,Não,7,Outro,Remoto,3,2,2,3,3,1,Não,2,Não
67,Luzia Duarte Soares,906.600.719-24,39,Feminino,Casado,Não,Não,1,Marketing,2,Executivo(a) de Contas,4,20,9,Outros,Sim,Raramente_Viaja,3,Vendas,6,12031,2,9,Não,24,Outro,Presencial,3,1,4,2,3,1,Não,2,Não
68,Sandra Silva Andrade,456.207.583-03,40,Feminino,Divorciado,Não,Sim,3,Bioinformática,2,Engenheiro(a) de Machine Learning,2,20,7,Sustentação,Sim,Frequentemente_Viaja,2,Pesquisa e Desenvolvimento (P&D),13,7286.5,3,2,Não,26,Transporte público,Remoto,1,1,2,3,3,3,Não,3,Não
69,Daniel Cunha Peixoto,568.969.234-40,45,Masculino,Casado,Não,Não,2,Bioinformática,1,Gerente de Projetos,4,20,8,Inovação,Não,Nao_Viaja,4,Pesquisa e Desenvolvimento (P&D),8,16792,3,11,Não,2,Transporte público,Presencial,4,4,4,2,4,0,Não,3,Sim
70,Carla Guimarães Lopes,713.723.512-30,42,Feminino,Casado,Não,Não,3,Marketing,2,Executivo(a) de Contas,4,20,4,Outros,Sim,Frequentemente_Viaja,1,Vendas,8,13525,2,4,Não,26,Transporte público,Presencial,2,4,2,3,3,0,Não,4,Não
71,Leonardo Ferreira Bastos,803.335.993-57,42,Masculino,Casado,Não,Não,1,Ciência da Computação,3,Gerente de Projetos,4,20,8,Sustentação,Sim,Nao_Viaja,4,Pesquisa e Desenvolvimento (P&D),10,17861,4,2,Não,2,Transporte público,Remoto,2,4,3,3,3,0,Sim,2,Não
72,Pedro Henrique Rodrigues Nascimento,911.465.862-30,42,Masculino,Casado,Não,Não,1,Ciência da Computação,3,Executivo(a) de Contas,2,20,16,Outros,Sim,Raramente_Viaja,4,Vendas,6,4907,1,11,Não,1,Transporte público,Presencial,4,3,3,3,4,3,Não,3,Não
73,Matheus Mendes Souza,965.145.474-19,42,Masculino,Casado,Não,Não,3,Ciência da Computação,3,Arquiteto(a) de Soluções,3,20,8,Inovação,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),9,10124,3,13,Não,2,Outro,Remoto,4,3,4,3,3,0,Sim,1,Não
74,Enzo Lopes Pereira,529.183.748-90,45,Masculino,Casado,Não,Não,2,Bioinformática,2,Arquiteto(a) de Soluções,4,20,7,Inovação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),10,13496,1,4,Não,20,Outro,Remoto,4,2,4,3,3,0,Sim,3,Não
75,Cauã Viana Mendes,888.688.985-27,44,Masculino,Solteiro,Não,Não,4,Outros ,3,Engenheiro(a) de Machine Learning,2,20,11,Sustentação,Não,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),17,5903.3,3,13,Não,29,Carro Próprio,Remoto,4,2,4,3,4,3,Não,3,Não
76,Raquel Souza Ramos,232.628.115-21,54,Feminino,Solteiro,Não,Não,3,Bioinformática,3,Diretor(a) de Tecnologia,4,20,7,Outros,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),7,22526.4,2,12,Não,1,Outro,Presencial,3,4,4,3,3,0,Não,2,Não
77,Rita Gomes Martins,642.988.065-61,51,Feminino,Casado,Não,Não,4,Marketing,2,Gerente de Projetos,4,20,6,Sustentação,Sim,Raramente_Viaja,4,Vendas,17,16307,1,4,Não,26,Outro,Remoto,3,3,3,3,3,2,Não,2,Não
78,Pedro Henrique Pereira Araújo,864.885.544-68,44,Masculino,Casado,Não,Não,2,Bioinformática,1,Analista de RH,3,20,6,Outros,Não,Raramente_Viaja,2,Recursos Humanos,6,8385.6,4,3,Não,1,Outro,Presencial,2,4,1,2,3,0,Não,3,Não
79,Daniela Araújo Pereira,639.393.683-50,40,Feminino,Casado,Não,Não,4,Ciência da Computação,2,Gerente de Projetos,5,20,15,Inovação,Sim,Raramente_Viaja,2,Vendas,12,18041,3,1,Não,2,Outro,Presencial,2,4,3,3,3,0,Não,3,Sim
80,Miguel Rocha Teixeira,509.705.361-35,51,Masculino,Solteiro,Não,Não,3,Ciência da Computação,5,Diretor(a) de Tecnologia,5,20,18,Outros,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),15,25398.1,3,15,Não,6,Carro Próprio,Presencial,2,3,3,3,3,0,Não,3,Não
81,Elaine Costa Melo,489.824.064-09,40,Feminino,Casado,Não,Não,1,Bioinformática,2,Gerente de Projetos,5,20,8,Inovação,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),9,19033,1,9,Não,4,Carro Próprio,Remoto,2,2,3,3,3,3,Não,3,Não
82,Antônio Andrade Pires,783.009.128-51,42,Masculino,Solteiro,Sim,Não,2,Ciência da Computação,2,Engenheiro(a) de Machine Learning,2,20,9,Sustentação,Não,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),7,5631.6,4,3,Não,23,Transporte público,Remoto,3,4,3,2,3,0,Não,3,Sim
83,Camila Azevedo Nascimento,691.112.295-35,41,Feminino,Casado,Não,Não,4,Ciência da Computação,3,Diretor(a) de Operações,4,20,7,Outros,Sim,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),10,20355,3,0,Não,28,Transporte público,Presencial,1,3,2,2,4,3,Não,3,Sim
84,Matheus Duarte Miranda,531.658.539-91,39,Masculino,Solteiro,Não,Não,4,Marketing,3,Executivo(a) de Contas,4,20,8,Outros,Sim,Raramente_Viaja,2,Vendas,10,13341,4,11,Não,15,Carro Próprio,Presencial,1,1,1,3,3,0,Não,3,Não
85,Rosa Bastos Vieira,705.318.082-46,47,Feminino,Casado,Não,Não,4,Bioinformática,2,Diretor(a) de Tecnologia,4,20,17,Inovação,Não,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),6,22319.7,2,5,Não,2,Carro Próprio,Presencial,3,2,3,3,3,0,Não,4,Não
86,Leandro Mendes Lima,957.675.163-24,44,Masculino,Casado,Não,Não,3,Ciência da Computação,1,Diretor(a) de Tecnologia,4,20,6,Inovação,Não,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),17,21226.4,1,14,Não,28,Carro Próprio,Presencial,1,3,1,3,3,0,Não,4,Não
